IMO,name,is_asdp,voyages,hours,wait_h,fuel_t,co2_t,co2e100_t,shaft_mwh,propulsion_mwh,mean_load,v_steam,gt,built,p_mcr_kw,power_method,fuel,in_inventory,co2_per_voyage_t
8604333,Port Link III,True,891,1955.73,229.38,1059.06,3297.92,4649.31,4265.19,2868.74,0.13,11.11,9023.0,1986.0,14436.8,dimensions,residual,True,3.7
9764611,Sebuku,True,1337,3047.12,428.58,884.27,2753.62,3271.93,3883.49,1712.3,0.46,10.98,5553.0,2014.0,1892.59,dimensions,residual,True,2.06
9765665,Legundi,False,1278,2929.75,431.28,796.76,2481.11,2943.3,3505.12,1414.4,0.47,10.98,3500.0,2000.0,1593.2,gt_regression,residual,False,1.94
1105297,Sms Sagita 8,False,660,1940.95,622.85,686.11,2136.54,2548.79,2999.03,1619.6,0.43,10.71,15000.0,2000.0,3750.0,gt_regression,residual,False,3.24
9759733,Batu Mandi,True,939,2157.78,321.58,654.93,2039.46,2425.35,2875.84,1336.36,0.46,10.98,5381.0,2015.0,2103.13,dimensions,residual,True,2.17
8705747,Sms Sagita,False,652,1638.85,348.72,641.24,1996.81,2728.77,2637.62,1471.91,0.16,10.84,5373.0,1988.0,8596.8,dimensions,residual,True,3.06
8822222,Rajarakata,False,624,1816.52,570.77,629.65,1960.73,2542.18,2623.88,1332.55,0.19,10.71,8886.0,1989.0,6934.05,dimensions,residual,True,3.14
7909061,Duta Banten,False,632,1891.9,629.57,617.43,1922.67,2577.64,2556.86,1212.43,0.14,10.71,8011.0,1979.0,7865.26,dimensions,residual,True,3.04
9031521,Amadea,False,558,1617.77,504.62,609.24,1897.18,2585.47,2502.15,1351.52,0.14,10.71,6687.0,1991.0,9930.25,dimensions,residual,True,3.4
8602074,Amarisa,False,607,1749.63,539.43,607.29,1891.1,2454.03,2525.77,1280.83,0.18,10.71,10624.0,1986.0,7140.08,dimensions,residual,True,3.12
9836012,Neomi,False,723,2097.97,655.6,584.01,1818.61,2220.17,2516.02,1023.88,0.32,10.71,8274.0,2018.0,2886.05,dimensions,residual,True,2.52
9016715,Trimas Kanaya,False,714,1713.33,316.67,583.08,1815.71,2350.58,2432.91,1211.1,0.19,10.98,6547.0,1990.0,5587.3,dimensions,residual,True,2.54
9875812,Wira Berlian,False,613,1851.67,626.77,560.23,1744.55,2140.86,2402.45,1086.99,0.3,10.71,8800.0,2019.0,3745.39,gt_regression,residual,True,2.85
8921755,Virgo 18,False,483,1179.02,250.15,550.55,1714.4,2380.68,2250.35,1409.75,0.16,11.25,9989.0,1990.0,11056.28,dimensions,residual,True,3.55
